"Name of Researcher","Name of Institution","Name of Project","Type","Year","Reference","Links"
"Joanna Miler","Edinburgh Napier University","‘It maybe doesn’t seem much, but to me it’s my kingdom’: staff and client experiences of Housing First in Scotland","Article","2022","Miler, J. A., Foster, R., Hnizdilova, K., Murdoch, H., & Parkes, T. (2022). 'It maybe doesn't seem much, but to me it's my kingdom': staff and client experiences of Housing First in Scotland [Article]. Drugs: Education, Prevention & Policy, 29(3), 231-244. https://doi.org/10.1080/09687637.2021.1926429","https://doi.org/10.1080/09687637.2021.1926429"
"Rebecca Foster","Edinburgh Napier University","“PPI? That sounds like Payment Protection Insurance”: Reflections and learning from a substance use and homelessness study experts by experience group","Article","2021","Foster, R., Carver, H., Wallace, J., Dunedin, A., Burridge, S., Foley, P., Pauly, B., & Parkes, T. (2021) “PPI? That sounds like Payment Protection Insurance”: Reflections and learning from a substance use and homelessness study Experts by Experience group. Research Involvement and Engagement, 7 (82). https://researchinvolvement.biomedcentral.com/articles/10.1186/s40900-021-00324-8","https://researchinvolvement.biomedcentral.com/articles/10.1186/s40900-021-00324-8"
"Peter Hillen","Edinburgh Napier University","Exploring religiosity and spirituality in the construction of recovery identities","Article","2017","Hillen, P. (2017). Exploring religiosity and spirtuality in the construction of recovery identities. Thresholds: Counselling with Spirit, Spring, pp.23-26.","https://www.researchgate.net/publication/316276880_Exploring_religiosity_and_spirituality_in_the_construction_of_recovery_identities_Published_in_Thresholds_-_Counselling_with_Spirit_Spring_2017"
"Peter Hillen","Edinburgh Napier University","An exploration of the role of beliefs (religious, spritual and secular) in pathways from problematic substance use","PhD thesis","2016","https://era.ed.ac.uk/bitstream/handle/1842/22874/Hillen2017.pdf?sequence=2","https://era.ed.ac.uk/bitstream/handle/1842/22874/Hillen2017.pdf?sequence=2"
"Peter Hillen","Edinburgh Napier University","Naloxone in Police Scotland: A pilot evaluation","Report","2022","Hillen, P., Speakman, E., Dougall, N., Heyman, I., Murray, J., Jamieson, M., Aston, E., & McAuley, A. (2022). Naloxone in Police Scotland: Pilot evaluation. Final report for the Scottish Drug Deaths Taskforce.","https://www.napier.ac.uk/-/media/worktribe/output-2850176/naloxone-in-police-scotland-pilot-evaluation.ashx"
"Thanos Karatzias","Edinburgh Napier University","Posttraumatic stress disorder (PTSD) symptoms mediate the relationship between substance misuse and violent offending among female prisoners","Article","2017","Howard, R., Karatzias, T., Power, K., & Mahoney, A. (2017). Posttraumatic stress disorder (PTSD) symptoms mediate the relationship between substance misuse and violent offending among female prisoners. Social psychiatry and psychiatric epidemiology, 52(1), 21-25. https://doi.org/10.1007/s00127-016-1293-5  ","https://link.springer.com/article/10.1007/s00127-016-1293-5"
"Andy Perkins","Figure 8 Consultancy","Peer research in addiction services","Research project","2020","Perkins, A., Livingston, W., Carver, H., Collinson, B., Dumbrell, J., Willmott, S., & Gardiner, K. (2020). Peer research in addiction services. East Renfrewshire Council. (£58,200).",NA
"Andy Perkins","Figure 8 Consultancy","Responding to drug use with kindness, compassion and hope - a report from the Dundee Drugs Commission","Report","2021","Perkins, A. et al. (2021). Responding to drug use kindness, compassion and hope. The need for action two years on. Report for Dundee Drugs Commission.","https://www.dundeecity.gov.uk/dundee-partnership/dundee-drugs-commission"
"Andy Perkins","Figure 8 Consultancy","Time for kindness, compassion and hope: The need for action two years on - A two year on review from the Dundee Drugs Commission","Report","2022","Perkins, A., et al. (2022). DDC Review-Part 1- The Report: Time for kindness, compassion and hope. The need for action two years on. Report for the Dundee Drugs Commission","https://www.dundeecity.gov.uk/dundee-partnership/dundee-drugs-commission"
"Andy Perkins","Figure 8 Consultancy","Understanding substance use and the wider support needs of Scotland's prison population","Report","2022","Perkins, A., Livingston, W., Cairns, B., Dumbrell, J., Gardiner, K., Little, S., & Madoc-Jones, I. (2022). Understanding substance use and the wider support needs of Scotland's prison population. Report for Scottish Government Health and Social Care.",NA
"Esther Aspinall","Glasgow Caledonian University","Staying hepatitis C negative: A systematic review and meta-analysis of cure and reinfection in people who inject drugs","Article","2019","Latham, N. H., Doyle, J. S., Palmer, A. Y., Vanhommerig, J. W., Agius, P., Goutzamanis, S., Li, Z., Pedrana, A., Gottfredsson, M., Bouscaillou, J., Luhmann, N., Mazhnaya, A., Altice, F. L., Saeed, S., Klein, M., Falade-Nwulia, O. O., Aspinall, E., Hutchinson, S., Hellard, M. E., & Sacks-Davis, R. (2019). Staying hepatitis C negative: A systematic review and meta-analysis of cure and reinfection in people who inject drugs. Liver international : official journal of the International Association for the Study of the Liver, 39(12), 2244-2260. https://doi.org/10.1111/liv.14152","https://doi.org/10.1111/liv.14152"
"Natalia Farmer","Glasgow Caledonian University","There's no hope for any kind of a decent life': a qualitative study to explore the perspectives of people experiencing homelessness with a recent non-fatal overdose in Scotland","Article","2023","Farmer, N., McPherson, A., Thomson, J., Reilly, F., Williamson, A., & Lowrie, R. (2023). ‘There’s no hope for any kind of decent life’: a qualitative study to explore the perspectives of people experiencing homelessness with a recent non-fatal overdose in Scotland. The British Journal of Social Work, 160, https://doi.org/10.1093/bjsw/bcad160",NA
"Jamie Frankis","Glasgow Caledonian University","Social media, men who have sex with men, sexual and holistic health (SMMASH2)","Report","2018","Frankis, J., Flowers, P., Welsh, M., & McDaid, L. (2018). Social media, men who have sex with men, sexual and holisitc health study (SMMASH2): A report commissioned by NHS Greater Glasgow and Clyde and NHS Lothian Health Boards. Institute for Applied Health Research: GCU: Glasgow.","https://www.sandyford.scot/media/3486/smmash2-final-report-march-2018.pdf"
"Megan Glancy","Glasgow Caledonian University","Exploring the impact of the COVID-19 pandemic on the health and wellbeing of people who inject drugs in Scotland","PhD","2021 (year started)","Glancy, Megan | Glasgow Caledonian University | Scotland, UK (gcu.ac.uk)","https://www.gcu.ac.uk/staff/meganglancy"
"David Goldberg","Glasgow Caledonian University","HIV outbreaks among people who inject drugs in Europe, North America, and Israel","Article","2020","Des Jarlais, D.C., Sypsa, v., Feelemyer, J., Goldberg, D., et al. (2020). HIV outbreaks among people who inject drugs in Europe, North America and Israel. The Lancet, 7(6), pp. 434-442.","https://europepmc.org/article/med/32504576"
"David Goldberg","Glasgow Caledonian University","Impact of COVID-19 & response measures on HIV-HCV prevention services and social determinants in people who inject drugs in 13 sites with recent HIV outbreaks in Europe, North America and Israel","Article","2022","Wiessing, L., Sypsa, V., Abagiu, A.O., Arble, A., Berndt, N., Bosch, A., et al. (2022). Impact of COVID-19 & response measures on HIV-HCV prevention services and social determinants in people who inject drugs in 13 sites with recent HIV outbreaks in Europe, North America and Israel. AIDS and Behaviour, 27(4), pp.1140-1153. https://doi.org/10.1007/s10461-022-03851-x",NA
"Kirsten Horsburgh","Glasgow Caledonian University","Scotland's national naloxone program: the prison experience","Article","2018","Horsburgh, K., & McAuley, A. (2018). Scotland's national naloxone program: the prison experience. Drug and Alcohol Review, 37(4), pp. 454-456.","https://researchonline.gcu.ac.uk/en/publications/scotlands-national-naloxone-program-the-prison-experience"
"Sharon Hutchinson","Glasgow Caledonian University","Assessing the impact and costeffectiveness of needle/ syringe provision on Hep C transmission among people who inject drugs","Article","2017","Platt, L., Sweeney, S., Ward, Z., Guinness, L., Hickman, M., Hope, V., Hutchinson, S., et al. (2017). Assessing the impact and cost-effectiveness of needle and syringe provision and opioid substitution therapy on hepatitis C transmission among people who inject drugs in the UK: an analysis of pooled data sets and economic modelling. Public Health Research","https://pubmed.ncbi.nlm.nih.gov/28968044/"
"Sharon Hutchinson","Glasgow Caledonian University","Modelling the impact of incarceration and prison-based hepatitis C virus (HCV) treatment on HCV transmission among people who inject drugs in Scotland","Article","2017","Stone, J., Martin, N. K., Hickman, M., Hutchinson, S. J., Aspinall, E., Taylor, A., Munro, A., Dunleavy, K., Peters, E., Bramley, P., Hayes, P. C., Goldberg, D. J., & Vickerman, P. (2017). Modelling the impact of incarceration and prison-based hepatitis C virus (HCV) treatment on HCV transmission among people who inject drugs in Scotland. Addiction (Abingdon, England), 112(7), 1302-1314. https://doi.org/10.1111/add.13783","https://doi.org/10.1111/add.13783"
"Sharon Hutchinson","Glasgow Caledonian University","Impact of current and scaled-up levels of hepatitis C prevention and treatment interventions for people who inject drugs in three UK settings - what is required to achieve WHO's HCV elimination targets?","Article","2018","Ward, Z., Platt, L., Sweeney, S., Hope, V.D., Maher, L., Hutchinson, S. (2018). Impact of current and scaled-up levels of hepatitis C prevention and treatment interventions for people who inject drugs in three UK settings - what is required to achieve the WHO's HCV elimination targets? Addiction, 113(9), pp. 1727-1738.","https://pubmed.ncbi.nlm.nih.gov/29774607/"
"Sharon Hutchinson","Glasgow Caledonian University","Evaluating the cost‐effectiveness of existing needle and syringe programmes in preventing hepatitis C transmission in people who inject drugs","Article","2019","Sweeney, S., Ward, Z., Platt, L., Guinness, L., Hickman, M., Hope, V., Maher, L., Iversen, J., Hutchinson, S. J., Smith, J., Ayres, R., Hainey, I., & Vickerman, P. (2019). Evaluating the cost‐effectiveness of existing needle and syringe programmes in preventing hepatitis C transmission in people who inject drugs [Article]. Addiction, 114(3), 560-570. https://doi.org/10.1111/add.14519","https://doi.org/10.1111/add.14519"
"Sharon Hutchinson","Glasgow Caledonian University","High response and re-infection rates among people who inject drugs treated for hepatitis C in a community needle and syringe programme","Article","2019","Schulkind, J., Stephens, B., Ahmad, F., Johnston, L., Hutchinson, S., Thain, D., Ward, Z., Vickerman, P., Hickman, M., & Dillon, J. F. (2019). High response and re-infection rates among people who inject drugs treated for hepatitis C in a community needle and syringe programme. Journal of Viral Hepatitis, 26(5), 519-528. https://doi.org/10.1111/jvh.13035","https://doi.org/10.1111/jvh.13035"
"Sharon Hutchinson","Glasgow Caledonian University","Incarceration history and risk of HIV and hepatitis C virus aquisition among people who inject drugs: a systematic review and meta-analysis","Article","2019","Stone, J., Fraser, H., Lim, A.G., Walker, J.G., Ward, Z., MacGregor, L., Hutchinson, S., et al. (2019). Incarceration history and risk of HIV and hepatitis C virus acquistion among people who inject drugs: A systematic review and meta analysis. The Lancet Infectious Diseases, 18(12), pp. 1397-1409.","https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(18)30469-9/fulltext"
"Sharon Hutchinson","Glasgow Caledonian University","Rising opioid-related deaths in England and Scotland must be recognised as a public health crisis","Article","2019","Kimber, J., Hickman, M., Strang, J., Thomas, K., & Hutchinson, S. (2019). Rising opioid-related deaths in England and Scotland must be recognised as a public health crisis. The Lancet Psychiatry, 6(8), pp, 639-640.","https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(19)30209-3/fulltext"
"Sharon Hutchinson","Glasgow Caledonian University","The impact of direct‐acting antivirals on hepatitis C viraemia among people who inject drugs in England; real‐world data 2011–2018","Article","2021","Bardsley, M., Heinsbroek, E., Harris, R., Croxford, S., Edumndson, C., Hope, V., Hassan, N., Ijaz, S., Mandal, S., Shute, J., Hutchinson, S., et al. (2021). The impact of direct-acting antivirals on hepatitis C viraemia among people who inject drugs in England: real-world data 2011-2018. Journal of Viral Hepatitis, 28(10), pp. 1452-1463.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9290701/"
"Sharon Hutchinson","Glasgow Caledonian University","Analytical research on the effectiveness of services to prevent, diagnose and treat BBV in Scotland","Research project","2020-2024",NA,NA
"Andrew McAuley","Glasgow Caledonian University","Lived experience of take-home naloxone administration by people who inject drugs","Article","2018","McAuley, A., Munro, A., & Taylor, A. (2018). ""Once I'd done it once it was like writing your name"": Lived experience of take-home naloxone administration by people who inject drugs. International Journal of Drug Policy, 58, 46-54. https://doi.org/10.1016/j.drugpo.2018.05.002","https://doi.org/10.1016/j.drugpo.2018.05.002"
"Andrew McAuley","Glasgow Caledonian University","Recent and rapid transmission of HIV among people who inject drugs in Scotland revealed through phylogenetic analysis","Article","2018","Ragonnet-Cronin, M., Jackson, C., Bradley-Stewart, A., Aitken, C., McAuley, A., et al. (2018). Recent and rapid transmission of HIV among people who inject drugs in Scotland revealed through phylogenetic analysis. The Journal of Infectious Diseases, 217(12), pp. 1875-1882.","https://pubmed.ncbi.nlm.nih.gov/29546333/"
"Andrew McAuley","Glasgow Caledonian University","Re-emergence of HIV related to injecting drug use despite a comprehensive harm reduction environment: a cross-sectional analysis","Article","2019","McAuley, A., Palmateer, N. E., Goldberg, D. J., Trayner, K. M. A., Shepherd, S. J., Gunson, R. N., Metcalfe, R., Milosevic, C., Taylor, A., Munro, A., & Hutchinson, S. J. (2019). Re-emergence of HIV related to injecting drug use despite a comprehensive harm reduction environment: a cross-sectional analysis. The lancet. HIV, 6(5), e315-e324. https://doi.org/10.1016/S2352-3018(19)30036-0","https://doi.org/10.1016/S2352-3018(19)30036-0"
"Andrew McAuley","Glasgow Caledonian University","From hospital to the community: Redesigning the human immunodeficiency virus (HIV) clinical service model to respond to an outbreak of HIV among people who inject drugs","Article","2020","Metcalfe, R., Ragonnet-Cronin, M., Bradley-Stewart, A., McAuley, A., et al. (2020). From hospital to community: Redesigning the human immunodeficiency virus (HIV) clinical service model to respond to an outbreak of HIV among people who inject drugs. Journal of Infectious Diseases, 2","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7467274/"
"Andrew McAuley","Glasgow Caledonian University","A systematic review and meta-analysis of the prevalence of take-home naloxone (THN) ownership and carriage","Article","2021","Burton, G., McAuley, A., Schofield, J., Yeung, A., Matheson, C., & Parkes, T. (2021). A systematic review and meta-analysis of the prevalence of take-home naloxone (THN) ownership and carriage. International Journal of Drug Policy, 96, N.PAG-N.PAG. https://doi.org/10.1016/j.drugpo.2021.103298","https://doi.org/10.1016/j.drugpo.2021.103298"
"Andrew McAuley","Glasgow Caledonian University","Mortality involving new psychoactive substances across Europe, 2016-2017","Article","2021","López-Pelayo, H., Vicente, J., Gallegos, A., McAuley, A., Büyük, Y., White, M., & Giraudon, I. (2021). Mortality involving New Psychoactive Substances across Europe, 2016-2017. Emerging Trends in Drugs, Addictions, and Health, 1.","https://www.sciencedirect.com/science/article/pii/S2667118221000143"
"Andrew McAuley","Glasgow Caledonian University","Substances detected in used syringes of injecting drug users across 7 cities in Europe in 2017 and 2018: The European Syringe Collection and Analysis Project Enterprise (ESCAPE)","Article","2021","Brunt, T.M., Lefrançois, E., Gunnar, T., Arponen, A., Seyler, T., Goudriaan, A.E., McAuley, A., et al. (2021). Substances detected in used syringes of injecting drug users across 7 cities in Europe in 2017 and 2018: The European Syringe Collection and Analysis Project Enterprise (ESCAPE). Int J Drug Policy, 95.","https://www.sciencedirect.com/science/article/pii/S0955395921000281"
"Andrew McAuley","Glasgow Caledonian University","A rapid assessment of take-home naloxone provision during COVID-19 in Europe","Article","2022","McDonald, R., Eide, D., Abel-Ollo, Barnsdale, L., Carter, B., Clausen, T., Fonseca, F., Holmen, E., Horsburgh, K., Kelleher, M., Kaberg, M., Ladenhauf, M., McAuley, A., et al. (2022). A rapid assessment of take-home naloxone provision during COVID-19 in Europe. International Journal of Drug Policy, 107.","https://www.sciencedirect.com/science/article/pii/S095539592200202X"
"Andrew McAuley","Glasgow Caledonian University","From the clinic to the street: the changing role of benzodiazepines in the Scottish overdose epidemic","Article","2022","McAuley, A., Matheson, C., & Robertson, J. R. (2022). From the clinic to the street: the changing role of benzodiazepines in the Scottish overdose epidemic. The International journal on drug policy, 100, 103512. https://doi.org/10.1016/j.drugpo.2021.103512","https://doi.org/10.1016/j.drugpo.2021.103512"
"Andrew McAuley","Glasgow Caledonian University","Take-home naloxone kits: attitudes and likelihood-of-use outcomes from a European survey of potential overdose witnesses","Article","2022","McDonald, R., Breidahl, S., Abel-Ollo, K., Akhtar, S., Clausen, T., Day, E., Kelleher, M., McAuley, A., et al. (2022). Take-home naloxone kits: attitudes and likeihood-of-use outcomes from a European survey of potential overdose witnesses. European addiction research, 28(3), pp. 220-225.","https://researchonline.gcu.ac.uk/en/publications/take-home-naloxone-kits-attitudes-and-likelihood-of-use-outcomes-"
"Andrew McAuley","Glasgow Caledonian University","The characteristics of people who inject drugs in the United Kingdom: changes in age, duration, and incidence of injecting, 1980–2019, using evidence from repeated cross‐sectional surveys","Article","2022","Lewer, D., Croxford, S., Desai, M., Emanuel, E., Hope, V.D., McAuley, A., Phipps, E., & Tweed, E. (2022). The characteristics of people who inject drugs in the United Kingdom: changes in age, duration, and incidence of injecting, 1980-2019, using evidence from repeated cross-sectional surveys. Addiction, 117(9), 2471-2480.","https://researchonline.gcu.ac.uk/en/publications/the-characteristics-of-people-who-inject-drugs-in-the-united-king"
"Andrew McAuley","Glasgow Caledonian University","The United Kingdom's first unsanctioned overdose prevention site; a proof-of-concept evaluation","Article","2022","Shorter, G., Harris, M., McAuley, A., Trayner, K., & Stevens, A. (2022). The United Kingdom's first unsanctioned overdose prevention site; a proof-of-concept evaluation. International Journal of Drug Policy, 10(4).","https://researchonline.gcu.ac.uk/en/publications/the-united-kingdoms-first-unsanctioned-overdose-prevention-site-a"
"Andrew McAuley","Glasgow Caledonian University","Mortality among individuals prescribed opioid-agonist therapy during a public health emergency: a national retrospective cohort study","Article","2023","https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(23)00082-8/fulltext","https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(23)00082-8/fulltext"
"Andrew McAuley","Glasgow Caledonian University","Evaluating the impact of public health interventions in Scotland's drug-related death epidemic","Report","2022","McAuley, A., Hutchinson, S., Hickman, M., Vickerman, P., Jones, H., & Liddel, D. (2022). Evaluating the impact of public health interventions in Scotland's Drug-Related Death epidemic.","https://researchonline.gcu.ac.uk/en/projects/evaluating-the-impact-of-public-health-interventions-in-scotlands"
"Andrew McAuley","Glasgow Caledonian University","An implementation science evaluation of Scotland's first heroin assisted treatment facility","Research project","2019","https://www.cso.scot.nhs.uk/wp-content/uploads/HIPS1919.pdf","https://www.cso.scot.nhs.uk/wp-content/uploads/HIPS1919.pdf"
"Andrew McAuley","Glasgow Caledonian University","Etizolam: A rapid review on pharmacology, non-medical use and harms","Review","2020","Nielsen, S., & McAuley, A. (2020). Etizolam: a rapid review on pharmacology, non-medical use and harms. Drug & Alcohol Review, 39(4), pp. 330-336.","https://pubmed.ncbi.nlm.nih.gov/32243020/"
"Scott McDonald","Glasgow Caledonian University","Increasing drug-related mortality rates over the last decade in Scotland are not just due to an ageing cohort: a retrospective longitudinal cohort study","Article","2021","McDonald, S.A., McAuley, A., Hickman, M., Bird, S.M., Weir, A., Templeton, K., Gunson, R., & Hutchinson, S.J. (2021). Increasing drug-related mortality rates over the last decade in Scotland are not just due to an ageing cohort: a retrospective longitudinal cohort study. International Journal of Drug Policy, 96, pp. 1-7.","https://researchonline.gcu.ac.uk/en/publications/increasing-drug-related-mortality-rates-over-the-last-decade-in-s"
"Scott McDonald","Glasgow Caledonian University","Improved health-related quality of life after hepatitis C viraemic clearance among people who inject drugs may not be durable","Article","2023","Mcdonald, S.A., Myring, G., Palmateer, N., McAuley, A., Beer, L., Dillon, J.F., Hollingworth, W., Gunson, R., Hickman, M., & Hutchinson, S. (2023). Improved health-related quality of life after hepatitis C viraemic clearance among people who inject drugs may not be durable. Addiction.","https://researchonline.gcu.ac.uk/en/publications/improved-health-related-quality-of-life-after-hepatitis-c-viraemi"
"Amy McEwan","Glasgow Caledonian University","Hepatitis C reinfection amongst people who inject drugs","PhD","2019 (year started)",NA,NA
"Norah Palmateer","Glasgow Caledonian University","Association between universal hepatitis B prison vaccination, vaccine uptake and hepatitis B infection among people who inject drugs","Article","2018","Palmateer, N. E., Goldberg, D. J., Munro, A., Taylor, A., Yeung, A., Wallace, L. A., Mitchell, A., Shepherd, S. J., Gunson, R. N., Aitken, C., & Hutchinson, S. J. (2018). Association between universal hepatitis B prison vaccination, vaccine uptake and hepatitis B infection among people who inject drugs [Article]. Addiction, 113(1), 80-90. https://doi.org/10.1111/add.13944","https://doi.org/10.1111/add.13944"
"Norah Palmateer","Glasgow Caledonian University","Modelling the impact of a national scale-up of interventions on hepatitis C virus transmission among people who inject drugs in Scotland","Article","2018","Fraser, H., Mukandavire, C., Martin, N.K., Goldberg, D., Palmateer, N., Munro, A., Taylor, A., Hickman, M., Hutchinson, S., & Vickerman, P. (2018). Modelling the impact of a national scale-up of interventions on hepatitis C virus transmission among people who inject drugs in Scotland. Addiction, 113(11), pp. 2118-2131.","https://researchonline.gcu.ac.uk/ws/portalfiles/portal/26099471/C.Hutchinson_Modelling_the_impact_of_a_national_scale_up_of_interventions_on_hepatitis_C_virus_transmission_among_people_who_inject_drugs_in_Scotland.pdf"
"Norah Palmateer","Glasgow Caledonian University","Interventions to prevent HIV and Hepatitis C among people who inject drugs: Latest evidence of effectiveness from a systematic review (2011 to 2020)","Article","2022","Palmateer, N., Hamill, V., Bergenstrom, A., Bloomfield, H., Gordon, L., Stone, J., Fraser, H., Seyler, T., Duan, Y., Tran, R., Trayner, K., Biggam, C., Smith, S., Vickerman, P., Hickman, M., & Hutchinson, S. (2022). Interventions to prevent HIV and Hepatitis C among people who inject drugs: Latest evidence of effectiveness from a systematic review (2011 to 2020). The International journal on drug policy, 109, 103872. https://doi.org/10.1016/j.drugpo.2022.103872","https://doi.org/10.1016/j.drugpo.2022.103872"
"Norah Palmateer","Glasgow Caledonian University","Incidence of HIV and hepatitis C virus among people who inject drugs, and associations with age and sex or gender: A global systematic review and meta-analysis","Article","2023","Artenie, A., Stone, J., Fraser, H., Stewart, D., Arum, C., Lim, A.G., McNaughton, A.L., Trickey, A., Ward, Z., Abramovitz, D., Alary, M., Astemborski, J., Bruneau, J., Clipman, S., Coffin, C.S., Croxford, S., DeBeck, K., Emanuel, E., Hayashi, K., Hermez, J.G., Low-Beer, D., Luhmann, N., Macphail, G., Maher, L., Palmateer, N., et al. (2023). Incidence of HIV and hepatitis C virus among people who inject drugs, and associations with age and sex or gender: a global systematic review and meta-analysis. The Lancet Gastroenterology & Hepatology, 8(6), pp. 533-552.","https://www.thelancet.com/journals/langas/article/PIIS2468-1253(23)00018-3/fulltext"
"Norah Palmateer","Glasgow Caledonian University","Reduction in the population prevalence of hepatitis C virus viraemia among people who inject drugs associated with scale-up of direct-acting anti-viral therapy in community drug services: real-world data","Report","2021","Palmateer, N., McAuley, A., Dillon, J.F., McDonald, S., Yeung, A., Smith, S., et al. (2021). Reduction in the population prevalence of hepatitis C virus viraemia among people who inject drugs associated with scale-up of direct-acting anti-viral therapy in community drug services: real world data. Addiction, 116(10), pp. 2893-2907.","https://onlinelibrary.wiley.com/doi/10.1111/add.15459"
"Norah Palmateer","Glasgow Caledonian University","Needle exchange surveillance initiative (NESI): Prevalence of blood-borne viruses and injecting risk behaviours among people who inject drugs attending injecting equipment provision services in Scotland 2008 to 2020.","Research project","2022","https://publichealthscotland.scot/publications/needle-exchange-surveillance-initiative-nesi/needle-exchange-surveillance-initiative-nesi/","https://publichealthscotland.scot/publications/needle-exchange-surveillance-initiative-nesi/needle-exchange-surveillance-initiative-nesi/"
"Matt Smith","Glasgow Caledonian University","Perspectives on pre-exposure prophylaxis for people who inject drugs in the context of an HIV outbreak: A qualitative study","Article","2021","Smith, M., Elliott, L., Hutchinson, S. J., Metcalfe, R., Flowers, P., & McAuley, A. (2021). Perspectives on pre-exposure prophylaxis for people who inject drugs in the context of an hiv outbreak: A qualitative study. The International journal on drug policy, 88, 103033. https://doi.org/10.1016/j.drugpo.2020.103033","https://doi.org/10.1016/j.drugpo.2020.103033"
